2,5.5% (35759/645173),6.0% (13097/219867),35759,13097
100,9.0% (58245/645173),9.3% (20420/219867),58245,20420
200,10.9% (70333/645173),11.1% (24393/219867),70333,24393
300,12.5% (80616/645173),12.6% (27630/219867),80616,27630
400,13.5% (87064/645173),13.4% (29547/219867),87064,29547
500,14.2% (91403/645173),14.0% (30776/219867),91403,30776
600,14.6% (94486/645173),14.4% (31566/219867),94486,31566
700,15.2% (97808/645173),14.8% (32514/219867),97808,32514
800,17.1% (110080/645173),16.3% (35809/219867),110080,35809
900,18.8% (121330/645173),17.3% (38134/219867),121330,38134
1000,19.2% (123657/645173),17.6% (38761/219867),123657,38761
1094,19.8% (127703/645173),18.1% (39892/219867),127703,39892
